# x_register	name	tool_set	function
0x3415	GetAlertStage	0x15	0x34
0x3504	GetBackPat	0x04	0x35
0x350e	GetInfoRefCon	0x0e	0x35
0x350f	SetMItemStyle	0x0f	0x35
0x3510	GetCtlParamPtr	0x10	0x35
0x3513	PMLoadDriver	0x13	0x35
0x3515	ResetAlertStage	0x15	0x35
0x3604	PenNormal	0x04	0x36
0x360e	SetInfoRefCon	0x0e	0x36
0x360f	GetMItemStyle	0x0f	0x36
0x3613	PrGetDocName	0x13	0x36
0x3615	DefaultFilter	0x15	0x36
0x3703	ConvSeconds	0x03	0x37
0x3704	SetSolidPenPat	0x04	0x37
0x370e	GetZoomRect	0x0e	0x37
0x370f	SetMenuID	0x0f	0x37
0x3710	InvalCtls	0x10	0x37
0x3713	PrSetDocName	0x13	0x37
0x3715	GetDefButton	0x15	0x37
0x3803	SysBeep2	0x03	0x38
0x3804	SetSolidBackPat	0x04	0x38
0x380e	SetZoomRect	0x0e	0x38
0x380f	SetMItemID	0x0f	0x38
0x3813	PrGetPgOrientation	0x13	0x38
0x3815	SetDefButton	0x15	0x38
0x3903	VersionString	0x03	0x39
0x3904	SolidPattern	0x04	0x39
0x390e	RefreshDesktop	0x0e	0x39
0x390f	SetMenuBar	0x0f	0x39
0x3910	FindRadioButton	0x10	0x39
0x3915	DisableDItem	0x15	0x39
0x3a03	WaitUntil	0x03	0x3a
0x3a04	MoveTo	0x04	0x3a
0x3a0e	InvalRect	0x0e	0x3a
0x3a0f	SetMItemName	0x0f	0x3a
0x3a10	SetLETextByID	0x10	0x3a
0x3a15	EnableDItem	0x15	0x3a
0x3b03	StringToText	0x03	0x3b
0x3b04	Move	0x04	0x3b
0x3b0e	InvalRgn	0x0e	0x3b
0x3b0f	GetPopUpDefProc	0x0f	0x3b
0x3b10	GetLETextByID	0x10	0x3b
0x3c03	ShowBootInfo	0x03	0x3c
0x3c04	LineTo	0x04	0x3c
0x3c0e	ValidRect	0x0e	0x3c
0x3c0f	PopUpMenuSelect	0x0f	0x3c
0x3c10	SetCtlValueByID	0x10	0x3c
0x3d03	ScanDevices	0x03	0x3d
0x3d04	Line	0x04	0x3d
0x3d0e	ValidRgn	0x0e	0x3d
0x3d0f	DrawPopUp	0x0f	0x3d
0x3d10	GetCtlValueByID	0x10	0x3d
0x3e03	AlertMessage	0x03	0x3e
0x3e04	SetPicSave	0x04	0x3e
0x3e0e	GetContentOrigin	0x0e	0x3e
0x3e0f	NewMenu2	0x0f	0x3e
0x3e10	InvalOneCtlByID	0x10	0x3e
0x3f03	DoSysPrefs	0x03	0x3f
0x3f04	GetPicSave	0x04	0x3f
0x3f0e	SetContentOrigin	0x0e	0x3f
0x3f0f	InsertMItem2	0x0f	0x3f
0x3f10	HiliteCtlByID	0x10	0x3f
0x4004	SetRgnSave	0x04	0x40
0x400e	GetDataSize	0x0e	0x40
0x400f	SetMenuTitle2	0x0f	0x40
0x4104	GetRgnSave	0x04	0x41
0x410e	SetDataSize	0x0e	0x41
0x410f	SetMItem2	0x0f	0x41
0x4204	SetPolySave	0x04	0x42
0x420e	GetMaxGrow	0x0e	0x42
0x420f	SetMItemName2	0x0f	0x42
0x4304	GetPolySave	0x04	0x43
0x430e	SetMaxGrow	0x0e	0x43
0x430f	NewMenuBar2	0x0f	0x43
0x4404	SetGrafProcs	0x04	0x44
0x440e	GetScroll	0x0e	0x44
0x4504	GetGrafProcs	0x04	0x45
0x450e	SetScroll	0x0e	0x45
0x450f	HideMenuBar	0x0f	0x45
0x4604	SetUserField	0x04	0x46
0x460e	GetPage	0x0e	0x46
0x460f	ShowMenuBar	0x0f	0x46
0x4704	GetUserField	0x04	0x47
0x470e	SetPage	0x0e	0x47
0x470f	SetMItemIcon	0x0f	0x47
0x4804	SetSysField	0x04	0x48
0x480e	GetContentDraw	0x0e	0x48
0x480f	GetMItemIcon	0x0f	0x48
0x4904	GetSysField	0x04	0x49
0x490e	SetContentDraw	0x0e	0x49
0x490f	SetMItemStruct	0x0f	0x49
0x4a04	SetRect	0x04	0x4a
0x4a0e	GetInfoDraw	0x0e	0x4a
0x4a0f	GetMItemStruct	0x0f	0x4a
0x4b04	OffsetRect	0x04	0x4b
0x4b0e	SetSysWindow	0x0e	0x4b
0x4b0f	RemoveMItemStruct	0x0f	0x4b
0x4c04	InsetRect	0x04	0x4c
0x4c0e	GetSysWFlag	0x0e	0x4c
0x4c0f	GetMItemFlag2	0x0f	0x4c
0x4d04	SectRect	0x04	0x4d
0x4d0e	StartDrawing	0x0e	0x4d
0x4d0f	SetMItemFlag2	0x0f	0x4d
0x4e04	UnionRect	0x04	0x4e
0x4e0e	SetWindowIcons	0x0e	0x4e
0x4f04	PtInRect	0x04	0x4f
0x4f0e	GetRectInfo	0x0e	0x4f
0x4f0f	GetMItemBlink	0x0f	0x4f
0x5004	Pt2Rect	0x04	0x50
0x500e	StartInfoDrawing	0x0e	0x50
0x500f	InsertPathMItems	0x0f	0x50
0x5104	EqualRect	0x04	0x51
0x510e	EndInfoDrawing	0x0e	0x51
0x5204	EmptyRect	0x04	0x52
0x5204	NotEmptyRect	0x04	0x52
0x520e	GetFirstWindow	0x0e	0x52
0x5304	FrameRect	0x04	0x53
0x530e	WindDragRect	0x0e	0x53
0x5404	PaintRect	0x04	0x54
0x5504	EraseRect	0x04	0x55
0x550e	DrawInfoBar	0x0e	0x55
0x5604	InvertRect	0x04	0x56
0x560e	WindowGlobal	0x0e	0x56
0x5704	FillRect	0x04	0x57
0x570e	SetContentOrigin2	0x0e	0x57
0x5804	FrameOval	0x04	0x58
0x580e	GetWindowMgrGlobals	0x0e	0x58
0x5904	PaintOval	0x04	0x59
0x590e	AlertWindow	0x0e	0x59
0x5a04	EraseOval	0x04	0x5a
0x5a0e	StartFrameDrawing	0x0e	0x5a
0x5b04	InvertOval	0x04	0x5b
0x5b0e	EndFrameDrawing	0x0e	0x5b
0x5c04	FillOval	0x04	0x5c
0x5c0e	ResizeWindow	0x0e	0x5c
0x5d04	FrameRRect	0x04	0x5d
0x5e04	PaintRRect	0x04	0x5e
0x5f04	EraseRRect	0x04	0x5f
0x5f0e	TaskMasterDA	0x0e	0x5f
0x6004	InvertRRect	0x04	0x60
0x600e	CompileText	0x0e	0x60
0x6104	FillRRect	0x04	0x61
0x610e	NewWindow2	0x0e	0x61
0x6204	FrameArc	0x04	0x62
0x620e	ErrorWindow	0x0e	0x62
0x6304	PaintArc	0x04	0x63
0x630e	GetAuxWIndInfo	0x0e	0x63
0x6404	EraseArc	0x04	0x64
0x640e	DoModalWindow	0x0e	0x64
0x6504	InvertArc	0x04	0x65
0x650e	MWGetCtlPart	0x0e	0x65
0x6604	FillArc	0x04	0x66
0x660e	MWSetMenuProc	0x0e	0x66
0x6704	NewRgn	0x04	0x67
0x670e	MWStdDrawProc	0x0e	0x67
0x6804	DisposeRgn	0x04	0x68
0x680e	MWSetUpEditMenu	0x0e	0x68
0x6904	CopyRgn	0x04	0x69
0x690e	FindCursorCtl	0x0e	0x69
0x6a04	SetEmptyRgn	0x04	0x6a
0x6a0e	ResizeInfoBar	0x0e	0x6a
0x6b04	SetRectRgn	0x04	0x6b
0x6b0e	HandleDiskInsert	0x0e	0x6b
0x6c04	RectRgn	0x04	0x6c
0x6c0e	UpdateWindow	0x0e	0x6c
0x6d04	OpenRgn	0x04	0x6d
0x6e04	CloseRgn	0x04	0x6e
0x6f04	OffsetRgn	0x04	0x6f
0x7004	InsetRgn	0x04	0x70
0x7104	SectRgn	0x04	0x71
0x7204	UnionRgn	0x04	0x72
0x7304	DiffRgn	0x04	0x73
0x7404	XorRgn	0x04	0x74
0x7504	PtInRgn	0x04	0x75
0x7604	RectInRgn	0x04	0x76
0x7704	EqualRgn	0x04	0x77
0x7804	EmptyRgn	0x04	0x78
0x7904	FrameRgn	0x04	0x79
0x7a04	PaintRgn	0x04	0x7a
0x7b04	EraseRgn	0x04	0x7b
0x7c04	InvertRgn	0x04	0x7c
0x7d04	FillRgn	0x04	0x7d
0x7e04	ScrollRect	0x04	0x7e
0x7f04	PaintPixels	0x04	0x7f
0x8004	AddPt	0x04	0x80
0x8104	SubPt	0x04	0x81
0x8204	SetPt	0x04	0x82
0x8304	EqualPt	0x04	0x83
0x8404	LocalToGlobal	0x04	0x84
0x8504	GlobalToLocal	0x04	0x85
0x8604	Random	0x04	0x86
0x8704	SetRandSeed	0x04	0x87
0x8804	GetPixel	0x04	0x88
0x8904	ScalePt	0x04	0x89
0x8a04	MapPt	0x04	0x8a
0x8b04	MapRect	0x04	0x8b
0x8c04	MapRgn	0x04	0x8c
0x8d04	SetStdProcs	0x04	0x8d
0x8e04	SetCursor	0x04	0x8e
0x8f04	GetCursorAdr	0x04	0x8f
0x9004	HideCursor	0x04	0x90
0x9104	ShowCursor	0x04	0x91
0x9204	ObscureCursor	0x04	0x92
0x9404	SetFont	0x04	0x94
0x9504	GetFont	0x04	0x95
0x9604	GetFontInfo	0x04	0x96
0x9704	GetFontGlobals	0x04	0x97
0x9804	SetFontFlags	0x04	0x98
0x9904	GetFontFlags	0x04	0x99
0x9a04	SetTextFace	0x04	0x9a
0x9b04	GetTextFace	0x04	0x9b
0x9c04	SetTextMode	0x04	0x9c
0x9d04	GetTextMode	0x04	0x9d
0x9e04	SetSpaceExtra	0x04	0x9e
0x9f04	GetSpaceExtra	0x04	0x9f
0xa004	SetForeColor	0x04	0xa0
0xa104	GetForeColor	0x04	0xa1
0xa204	SetBackColor	0x04	0xa2
0xa304	GetBackColor	0x04	0xa3
0xa404	DrawChar	0x04	0xa4
0xa504	DrawString	0x04	0xa5
0xa604	DrawCString	0x04	0xa6
0xa704	DrawText	0x04	0xa7
0xa804	CharWidth	0x04	0xa8
0xa904	StringWidth	0x04	0xa9
0xaa04	CStringWidth	0x04	0xaa
0xab04	TextWidth	0x04	0xab
0xac04	CharBounds	0x04	0xac
0xad04	StringBounds	0x04	0xad
0xae04	CStringBounds	0x04	0xae
0xaf04	TextBounds	0x04	0xaf
0xb004	SetArcRot	0x04	0xb0
0xb104	GetArcRot	0x04	0xb1
0xb204	SetSysFont	0x04	0xb2
0xb304	GetSysFont	0x04	0xb3
0xb404	SetVisRgn	0x04	0xb4
0xb504	GetVisRgn	0x04	0xb5
0xb604	SetIntUse	0x04	0xb6
0xb704	OpenPicture	0x04	0xb7
0xb804	PicComment	0x04	0xb8
0xb904	ClosePicture	0x04	0xb9
0xba04	DrawPicture	0x04	0xba
0xbb04	KillPicture	0x04	0xbb
0xbc04	FramePoly	0x04	0xbc
0xbd04	PaintPoly	0x04	0xbd
0xbe04	ErasePoly	0x04	0xbe
0xbf04	InvertPoly	0x04	0xbf
0xc004	FillPoly	0x04	0xc0
0xc104	OpenPoly	0x04	0xc1
0xc204	ClosePoly	0x04	0xc2
0xc304	KillPoly	0x04	0xc3
0xc404	OffsetPoly	0x04	0xc4
0xc504	MapPoly	0x04	0xc5
0xc604	SetClipHandle	0x04	0xc6
0xc704	GetClipHandle	0x04	0xc7
0xc804	SetVisHandle	0x04	0xc8
0xc904	GetVisHandle	0x04	0xc9
0xca04	InitCursor	0x04	0xca
0xcb04	SetBufDims	0x04	0xcb
0xcc04	ForceBufDims	0x04	0xcc
0xcd04	SaveBufDims	0x04	0xcd
0xce04	RestoreBufDims	0x04	0xce
0xcf04	GetFGSize	0x04	0xcf
0xd004	SetFontID	0x04	0xd0
0xd104	GetFontID	0x04	0xd1
0xd204	SetTextSize	0x04	0xd2
0xd304	GetTextSize	0x04	0xd3
0xd404	SetCharExtra	0x04	0xd4
0xd504	GetCharExtra	0x04	0xd5
0xd604	PPToPort	0x04	0xd6
0xd704	InflateTextBuffer	0x04	0xd7
0xd804	GetRomFont	0x04	0xd8
0xd904	GetFontLore	0x04	0xd9
0xda04	Get640Colors	0x04	0xda
0xdb04	Set640Color	0x04	0xdb
